key,entry_type,doi,url,query,top_result_url,http_status,s2_status,s2_http_status,source_title,source_authors,source_venue,source_volume,source_pages,source_years,title_similarity,author_match,year_match,venue_match,volume_match,pages_match,existence_verdict,bibliographic_verdict,checked_at_utc,notes
bezerra2025dynamicCoalition,article,10.1109/LRA.2025.3592080,https://doi.org/10.1109/LRA.2025.3592080,https://api.crossref.org/works/10.1109%2FLRA.2025.3592080,https://doi.org/10.1109/LRA.2025.3592080,200,S2_VERIFIED,200,Learning Policies for Dynamic Coalition Formation in Multi-Robot Task Allocation,bezerra;santos;park,IEEE Robotics and Automation Letters,10,9216-9223,2025,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
bicchi1995closure,article,10.1177/027836499501400402,https://doi.org/10.1177/027836499501400402,https://api.crossref.org/works/10.1177%2F027836499501400402,https://doi.org/10.1177/027836499501400402,200,S2_VERIFIED,200,On the Closure Properties of Robotic Grasping,bicchi,The International Journal of Robotics Research,14,319-334,1995;2007,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
bogomolnaiaJackson2002Hedonic,article,10.1006/game.2001.0877,https://doi.org/10.1006/game.2001.0877,https://api.crossref.org/works/10.1006%2Fgame.2001.0877,https://doi.org/10.1006/game.2001.0877,200,S2_VERIFIED,200,The Stability of Hedonic Coalition Structures,bogomolnaia;jackson,Games and Economic Behavior,38,201-230,2002,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
boyd2006randomizedGossip,article,10.1109/TIT.2006.874516,https://doi.org/10.1109/TIT.2006.874516,https://api.crossref.org/works/10.1109%2FTIT.2006.874516,https://doi.org/10.1109/TIT.2006.874516,200,S2_VERIFIED,200,Randomized gossip algorithms,boyd;ghosh;prabhakar;shah,IEEE Transactions on Information Theory,52,2508-2530,2006,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
buckman2019cbbaPr,inproceedings,10.2514/6.2019-0915,https://doi.org/10.2514/6.2019-0915,https://api.crossref.org/works/10.2514%2F6.2019-0915,https://people.csail.mit.edu/nbuckman/pdfs/aiaa2019.pdf,200,S2_VERIFIED,200,Partial Replanning for Decentralized Dynamic Task Allocation,Noam Buckman; Jonathan P. How; Han-Lim Choi,AIAA Scitech 2019 Forum,,,2019,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,El PDF de autor y la página DOI confirman el orden Buckman--How--Choi; Crossref devuelve otro orden. Verificado el 2026-09-08.
bullo2009distributed,book,10.1515/9781400831470,https://doi.org/10.1515/9781400831470,https://api.crossref.org/works/10.1515%2F9781400831470,https://assets.press.princeton.edu/catalogs/math10.pdf,200,S2_VERIFIED,200,Distributed Control of Robotic Networks: A Mathematical Approach to Motion Coordination Algorithms,Francesco Bullo; Jorge Cortes; Sonia Martinez,Princeton University Press,,,2009,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,"Catálogo y muestra primaria de Princeton University Press, ISBN 978-0-691-14195-4. Verificado el 2026-09-08."
chenSun2011LeaderFollower,article,10.1177/0278364910396552,https://doi.org/10.1177/0278364910396552,https://api.crossref.org/works/10.1177%2F0278364910396552,https://doi.org/10.1177/0278364910396552,200,S2_VERIFIED,200,Resource constrained multirobot task allocation based on leader–follower coalition methodology,chen;sun,The International Journal of Robotics Research,30,1423-1434,2011,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
chenSun2012Coalition,article,10.1109/TASE.2012.2201470,https://doi.org/10.1109/TASE.2012.2201470,https://api.crossref.org/works/10.1109%2FTASE.2012.2201470,https://doi.org/10.1109/TASE.2012.2201470,200,S2_VERIFIED,200,Coalition-Based Approach to Task Allocation of Multiple Robots With Resource Constraints,chen;sun,IEEE Transactions on Automation Science and Engineering,9,516-528,2012,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
cherukuri2016primalDual,article,10.1016/j.sysconle.2015.10.006,https://doi.org/10.1016/j.sysconle.2015.10.006,https://api.crossref.org/works/10.1016%2Fj.sysconle.2015.10.006,https://doi.org/10.1016/j.sysconle.2015.10.006,200,S2_VERIFIED,200,Asymptotic convergence of constrained primal–dual dynamics,cherukuri;mallada;cortes,Systems &amp; Control Letters,87,10-15,2015;2016,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
choiBrunetHow2009CBBA,article,10.1109/TRO.2009.2022423,https://doi.org/10.1109/TRO.2009.2022423,https://api.crossref.org/works/10.1109%2FTRO.2009.2022423,https://doi.org/10.1109/TRO.2009.2022423,200,S2_VERIFIED,200,Consensus-Based Decentralized Auctions for Robust Task Allocation,han lim choi;brunet;how,IEEE Transactions on Robotics,25,912-926,2009,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
crouse2016Rectangular,article,10.1109/TAES.2016.140952,https://doi.org/10.1109/TAES.2016.140952,https://api.crossref.org/works/10.1109%2FTAES.2016.140952,https://doi.org/10.1109/TAES.2016.140952,200,S2_VERIFIED,200,On implementing 2D rectangular assignment algorithms,crouse,IEEE Transactions on Aerospace and Electronic Systems,52,1679-1696,2016,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
cuturi2013sinkhorn,inproceedings,,https://papers.nips.cc/paper/4927-sinkhorn-distances-lightspeed-computation-of-optimal-transport,https://papers.nips.cc/paper_files/paper/2013/hash/af21d0c97db2e27e13572cbf59eb343d-Abstract.html,https://papers.nips.cc/paper_files/paper/2013/hash/af21d0c97db2e27e13572cbf59eb343d-Abstract.html,200,NOT_APPLICABLE,,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Marco Cuturi,Advances in Neural Information Processing Systems 26,26,2292-2300,2013,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Página primaria de actas NeurIPS y PDF enlazado. Verificada el 2026-09-08.
dai2024dynamicCoalition,inproceedings,10.1109/ICRA57147.2024.10611244,https://doi.org/10.1109/ICRA57147.2024.10611244,https://api.crossref.org/works/10.1109%2FICRA57147.2024.10611244,https://doi.org/10.1109/ICRA57147.2024.10611244,200,S2_VERIFIED,200,Dynamic Coalition Formation and Routing for Multirobot Task Allocation via Reinforcement Learning,dai;bidwai;sartoretti,2024 IEEE International Conference on Robotics and Automation (ICRA),,16567-16573,2024,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
demsar2006Statistical,article,,https://www.jmlr.org/papers/v7/demsar06a.html,https://www.jmlr.org/beta/papers/v7/demsar06a.html,https://www.jmlr.org/beta/papers/v7/demsar06a.html,200,NOT_APPLICABLE,,Statistical Comparisons of Classifiers over Multiple Data Sets,Janez Demsar,Journal of Machine Learning Research,7,1-30,2006,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Registro primario de JMLR. Verificado el 2026-09-08.
desai2001formation,article,10.1109/70.976023,https://doi.org/10.1109/70.976023,https://api.crossref.org/works/10.1109%2F70.976023,https://doi.org/10.1109/70.976023,200,S2_VERIFIED,200,Modeling and control of formations of nonholonomic mobile robots,desai;ostrowski;kumar,IEEE Transactions on Robotics and Automation,17,905-908,2001;2002,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
dutta2021hedonic,inproceedings,10.1109/CASE49439.2021.9551582,https://doi.org/10.1109/CASE49439.2021.9551582,https://api.crossref.org/works/10.1109%2FCASE49439.2021.9551582,https://doi.org/10.1109/CASE49439.2021.9551582,200,S2_VERIFIED,200,Distributed Hedonic Coalition Formation for Multi-Robot Task Allocation,dutta;ufimtsev;said;jang;eggen,2021 IEEE 17th International Conference on Automation Science and Engineering (CASE),,639-644,2021,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
ebel2024cooperative,article,10.1016/j.robot.2023.104612,https://doi.org/10.1016/j.robot.2023.104612,https://api.crossref.org/works/10.1016%2Fj.robot.2023.104612,https://doi.org/10.1016/j.robot.2023.104612,200,S2_VERIFIED,200,Cooperative object transportation with differential-drive mobile robots: Control and experimentation,ebel;rosenfelder;eberhard,Robotics and Autonomous Systems,173,104612,2023;2024,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
fink2008caging,inproceedings,10.1109/ROBOT.2008.4543409,https://doi.org/10.1109/ROBOT.2008.4543409,https://api.crossref.org/works/10.1109%2FROBOT.2008.4543409,https://doi.org/10.1109/ROBOT.2008.4543409,200,S2_VERIFIED,200,Multi-robot manipulation via caging in environments with obstacles,fink;hsieh;kumar,2008 IEEE International Conference on Robotics and Automation,,1471-1476,2008,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
fiorini1998velocity,article,10.1177/027836499801700706,https://doi.org/10.1177/027836499801700706,https://api.crossref.org/works/10.1177%2F027836499801700706,https://doi.org/10.1177/027836499801700706,200,S2_VERIFIED,200,Motion Planning in Dynamic Environments Using Velocity Obstacles,fiorini;shiller,The International Journal of Robotics Research,17,760-772,1998;2007,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
franci2022stochasticGNE,article,10.1016/j.automatica.2021.110101,https://doi.org/10.1016/j.automatica.2021.110101,https://api.crossref.org/works/10.1016%2Fj.automatica.2021.110101,https://doi.org/10.1016/j.automatica.2021.110101,200,S2_VERIFIED,200,Stochastic generalized Nash equilibrium seeking under partial-decision information,franci;grammatico,Automatica,137,110101,2021;2022,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
geekplusWarehouseSolutions,online,,https://www.geekplus.com/en,https://www.geekplus.com/en,https://www.geekplus.com/en,200,NOT_APPLICABLE,,Geek+ | Robotics Solutions for Warehouse & Logistics Automation,"Geekplus Technology Co., Ltd.",,,,,0.9217,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,"Página corporativa primaria; confirma el tipo de solución, no cifras independientes de rendimiento. Verificada por búsqueda web el 2026-09-08."
gerkeyMataric2002MURDOCH,article,10.1109/TRA.2002.803462,https://doi.org/10.1109/TRA.2002.803462,https://api.crossref.org/works/10.1109%2FTRA.2002.803462,https://doi.org/10.1109/TRA.2002.803462,200,S2_VERIFIED,200,Sold!: auction methods for multirobot coordination,gerkey;mataric,IEEE Transactions on Robotics and Automation,18,758-768,2002;2003,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
gerkeyMataric2004MRTA,article,10.1177/0278364904045564,https://doi.org/10.1177/0278364904045564,https://api.crossref.org/works/10.1177%2F0278364904045564,https://doi.org/10.1177/0278364904045564,200,S2_VERIFIED,200,A Formal Analysis and Taxonomy of Task Allocation in Multi-Robot Systems,gerkey;mataric,The International Journal of Robotics Research,23,939-954,2004,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
grayLamport2006Commit,article,10.1145/1132863.1132867,https://doi.org/10.1145/1132863.1132867,https://api.crossref.org/works/10.1145%2F1132863.1132867,https://doi.org/10.1145/1132863.1132867,200,S2_VERIFIED,200,Consensus on transaction commit,gray;lamport,ACM Transactions on Database Systems,31,133-160,2006,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
grisetti2007gridMapping,article,10.1109/TRO.2006.889486,https://doi.org/10.1109/TRO.2006.889486,https://api.crossref.org/works/10.1109%2FTRO.2006.889486,https://doi.org/10.1109/TRO.2006.889486,200,S2_VERIFIED,200,Improved Techniques for Grid Mapping With Rao-Blackwellized Particle Filters,grisetti;stachniss;burgard,IEEE Transactions on Robotics,23,34-46,2007,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
halpernMoses1990Knowledge,article,10.1145/79147.79161,https://doi.org/10.1145/79147.79161,https://api.crossref.org/works/10.1145%2F79147.79161,https://doi.org/10.1145/79147.79161,200,S2_VERIFIED,200,Knowledge and common knowledge in a distributed environment,halpern;moses,Journal of the ACM,37,549-587,1990;2002,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
highs2026Official,online,,https://highs.dev/,https://highs.dev/,https://highs.dev/,200,NOT_APPLICABLE,,HiGHS - high-performance software for linear optimization,HiGHS project,,,,2026,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,"Documentación oficial del proyecto para LP, MIP y QP; no certifica una corrida concreta. Verificada el 2026-09-08."
holm1979Sequential,article,,https://www.jstor.org/stable/4615733,https://doi.org/10.2307/4615733,https://doi.org/10.2307/4615733,404,NOT_APPLICABLE,,A Simple Sequentially Rejective Multiple Test Procedure,Sture Holm,Scandinavian Journal of Statistics,6,65-70,1979,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,El identificador JSTOR corresponde al DOI 10.2307/4615733; metadatos confirmados en el registro bibliográfico y el PDF. Verificado el 2026-09-08.
huang2022mlLns,inproceedings,10.1609/aaai.v36i9.21168,https://ojs.aaai.org/index.php/AAAI/article/view/21168,https://api.crossref.org/works/10.1609%2Faaai.v36i9.21168,https://doi.org/10.1609/aaai.v36i9.21168,200,S2_VERIFIED,200,Anytime Multi-Agent Path Finding via Machine Learning-Guided Large Neighborhood Search,huang;li;koenig;dilkina,Proceedings of the AAAI Conference on Artificial Intelligence,36,9368-9376,2022,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
huangfuHall2018Highs,article,10.1007/s12532-017-0130-5,https://doi.org/10.1007/s12532-017-0130-5,https://api.crossref.org/works/10.1007%2Fs12532-017-0130-5,https://doi.org/10.1007/s12532-017-0130-5,200,S2_VERIFIED,200,Parallelizing the dual revised simplex method,huangfu;hall,Mathematical Programming Computation,10,119-142,2017;2018,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
internationalFederationRobotics2025,online,,https://ifr.org/ifr-press-releases/news/service-robots-see-global-growth-boom,https://ifr.org/news/service-robots-see-global-growth-boom/,https://ifr.org/news/service-robots-see-global-growth-boom/,200,NOT_APPLICABLE,,World Robotics 2025 report - SERVICE ROBOTS - released by IFR,International Federation of Robotics,,,,2025,0.7603,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Comunicado y resumen ejecutivo primarios; las cifras son una muestra de proveedores y no una proyección de toda la industria. Verificado el 2026-09-08.
jangShinTsourdos2018GRAPE,article,10.1109/TRO.2018.2858292,https://doi.org/10.1109/TRO.2018.2858292,https://api.crossref.org/works/10.1109%2FTRO.2018.2858292,https://doi.org/10.1109/TRO.2018.2858292,200,S2_VERIFIED,200,Anonymous Hedonic Game for Task Allocation in a Large-Scale Multiple Agent System,jang;shin;tsourdos,IEEE Transactions on Robotics,34,1534-1548,2018,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
johnson2011acbba,inproceedings,10.2514/6.2011-1441,https://doi.org/10.2514/6.2011-1441,https://api.crossref.org/works/10.2514%2F6.2011-1441,https://doi.org/10.2514/6.2011-1441,200,S2_VERIFIED,200,Asynchronous Decentralized Task Allocation for Dynamic Environments,johnson;ponda;choi;how,Infotech@Aerospace 2011,,,2011;2012,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
jonkerVolgenant1987Shortest,article,10.1007/BF02278710,https://doi.org/10.1007/BF02278710,https://api.crossref.org/works/10.1007%2FBF02278710,https://doi.org/10.1007/BF02278710,200,S2_VERIFIED,200,A shortest augmenting path algorithm for dense and sparse linear assignment problems,jonker;volgenant,Computing,38,325-340,1987;2005,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
kalman1960optimal,article,,https://www.boletin.math.org.mx/pdf/2/5/BSMM(2).5.102-119.pdf,https://boletin.math.org.mx/pdf/2/5/BSMM(2).5.102-119.pdf,https://boletin.math.org.mx/pdf/2/5/BSMM(2).5.102-119.pdf,200,NOT_APPLICABLE,,Contributions to the Theory of Optimal Control,Rudolf E. Kalman,Boletin de la Sociedad Matematica Mexicana,5,102-119,1960,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,PDF primario de la revista y registro bibliotecario concordante. Verificado el 2026-09-08.
kar2009imperfectConsensus,article,10.1109/TSP.2008.2007111,https://doi.org/10.1109/TSP.2008.2007111,https://api.crossref.org/works/10.1109%2FTSP.2008.2007111,https://doi.org/10.1109/TSP.2008.2007111,200,S2_VERIFIED,200,Distributed Consensus Algorithms in Sensor Networks With Imperfect Communication: Link Failures and Channel Noise,kar;moura,IEEE Transactions on Signal Processing,57,355-369,2008;2009,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
karp1972reducibility,incollection,10.1007/978-1-4684-2001-2_9,https://doi.org/10.1007/978-1-4684-2001-2_9,https://api.crossref.org/works/10.1007%2F978-1-4684-2001-2_9,https://doi.org/10.1007/978-1-4684-2001-2_9,200,S2_NOT_FOUND,200,Reducibility among Combinatorial Problems,karp,Complexity of Computer Computations,,85-103,1972;2012,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
kerby2014SimpleDifference,article,10.2466/11.IT.3.1,https://doi.org/10.2466/11.IT.3.1,https://api.crossref.org/works/10.2466%2F11.IT.3.1,https://doi.org/10.2466/11.IT.3.1,200,S2_VERIFIED,200,The Simple Difference Formula: An Approach to Teaching Nonparametric Correlation,kerby,Comprehensive Psychology,3,11.IT.3.1,2014;2016,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
khatib1986obstacle,article,10.1177/027836498600500106,https://doi.org/10.1177/027836498600500106,https://api.crossref.org/works/10.1177%2F027836498600500106,https://doi.org/10.1177/027836498600500106,200,S2_VERIFIED,200,Real-Time Obstacle Avoidance for Manipulators and Mobile Robots,khatib,The International Journal of Robotics Research,5,90-98,1986;2007,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
kia2019dynamicConsensus,article,10.1109/MCS.2019.2900783,https://doi.org/10.1109/MCS.2019.2900783,https://api.crossref.org/works/10.1109%2FMCS.2019.2900783,https://doi.org/10.1109/MCS.2019.2900783,200,S2_VERIFIED,200,"Tutorial on Dynamic Average Consensus: The Problem, Its Applications, and the Algorithms",kia;van scoy;cortes;freeman;lynch;martinez,IEEE Control Systems,39,40-72,2019,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
korsahStentzDias2013iTax,article,10.1177/0278364913496484,https://doi.org/10.1177/0278364913496484,https://api.crossref.org/works/10.1177%2F0278364913496484,https://doi.org/10.1177/0278364913496484,200,S2_VERIFIED,200,A comprehensive taxonomy for multi-robot task allocation,korsah;stentz;dias,The International Journal of Robotics Research,32,1495-1512,2013,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
koshal2016aggregative,article,10.1287/opre.2016.1501,https://doi.org/10.1287/opre.2016.1501,https://api.crossref.org/works/10.1287%2Fopre.2016.1501,https://doi.org/10.1287/opre.2016.1501,200,S2_VERIFIED,200,Distributed Algorithms for Aggregative Games on Graphs,koshal;nedic;shanbhag,Operations Research,64,680-704,2016,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
kube2000cooperative,article,10.1016/S0921-8890(99)00066-4,https://doi.org/10.1016/S0921-8890(99)00066-4,https://api.crossref.org/works/10.1016%2FS0921-8890%2899%2900066-4,https://doi.org/10.1016/S0921-8890(99)00066-4,200,S2_VERIFIED,200,Cooperative transport by ants and robots,kube;bonabeau,Robotics and Autonomous Systems,30,85-101,2000;2002,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
kuhn1955Hungarian,article,10.1002/nav.3800020109,https://doi.org/10.1002/nav.3800020109,https://api.crossref.org/works/10.1002%2Fnav.3800020109,https://doi.org/10.1002/nav.3800020109,200,S2_NOT_FOUND,200,The Hungarian method for the assignment problem,kuhn,Naval Research Logistics Quarterly,2,83-97,1955;2006;2007,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
lakens2013EffectSizes,article,10.3389/fpsyg.2013.00863,https://doi.org/10.3389/fpsyg.2013.00863,https://api.crossref.org/works/10.3389%2Ffpsyg.2013.00863,https://doi.org/10.3389/fpsyg.2013.00863,200,S2_VERIFIED,200,Calculating and reporting effect sizes to facilitate cumulative science: a practical primer for t-tests and ANOVAs,lakens,Frontiers in Psychology,4,,2013,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
leanh2006agv,article,10.1016/j.ejor.2005.01.036,https://doi.org/10.1016/j.ejor.2005.01.036,https://api.crossref.org/works/10.1016%2Fj.ejor.2005.01.036,https://doi.org/10.1016/j.ejor.2005.01.036,200,S2_VERIFIED,200,A review of design and control of automated guided vehicle systems,le anh;de koster,European Journal of Operational Research,171,1-23,2005;2006,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
