paragraph_id,chapter,section,path,line_start,line_end,words,sentences,text,normalized_sha256,query_fragment,sample_rank,sampled,exact_query,unquoted_query,search_status
pre-thesis/sections/source-snapshot/mainmatter/02-objectives.tex:31:p004,2. Objetivos,Objetivos específicos,pre-thesis/sections/source-snapshot/mainmatter/02-objectives.tex,31,35,52,2,Definir para Cargo un certificado planar que evalúe si la matriz de agarre y los límites de actuación realizan el wrench solicitado con el residual permitido. Ese certificado debe proporcionar la condición de entrada para el acoplamiento de robots diferenciales y para el servocontrol de pose en el dominio de estabilidad local.,d06a2a26d36aeb563e3011cfd105ff4fa9eff677e371396bbc77ba96a8c13868,realizan el wrench solicitado con el residual permitido Ese certificado debe proporcionar,5db9d3076af723b476da085e29dc37776c2e7939fbc8b57a6e873143766881aa,True,"""realizan el wrench solicitado con el residual permitido Ese certificado debe proporcionar""",realizan el wrench solicitado con el residual permitido Ese certificado debe proporcionar,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex:28:p004,3. Hipótesis,Hipótesis específicas,pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex,28,31,30,3,"1b. Cierre entero. En condiciones de escasez, el cierre por ranking y cuórum (QR) aplicado a la relajación de Smith reducirá la fracción de robots que permanece en coaliciones parciales.",099d8549faf9969a841ec0c1eb6f3919970eeef8b1fb65d4302a95aebfe59f97,por ranking y cuórum QR aplicado a la relajación de Smith reducirá,066a62a21e6297b76d9126f70ef3334e8a43f89b154d784b341d7035bd5248ba,True,"""por ranking y cuórum QR aplicado a la relajación de Smith reducirá""",por ranking y cuórum QR aplicado a la relajación de Smith reducirá,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex:33:p005,3. Hipótesis,Hipótesis específicas,pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex,33,35,24,3,"1c. Incentivo de cuórum. Con el cierre QR fijado, el beneficio de cuórum aumentará el valor de las cargas completadas frente al beneficio lineal.",11136e171946e26ef382d27632164e79bffc5f4fd1e1375a452b731d091f7a2a,cuórum aumentará el valor de las cargas completadas frente al beneficio lineal,2541273e942685371b5bb7b78979192c285db9eaf60d7882d8432edbe9371f36,True,"""cuórum aumentará el valor de las cargas completadas frente al beneficio lineal""",cuórum aumentará el valor de las cargas completadas frente al beneficio lineal,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex:42:p007,3. Hipótesis,Hipótesis específicas,pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex,42,45,28,3,"3. Acoplamiento espacial. Bajo el régimen de red degradada fijado, incorporar el coste espacial a la decisión estratégica reducirá el tiempo de terminación frente a la variante desacoplada.",86918cad1ffc0208b4ef5e9dc81d6c0b2159ac535008fe73cc3f82993f33b12a,3 Acoplamiento espacial Bajo el régimen de red degradada fijado incorporar,2daa87a75e031b186f9f2899600239b922c048f23853837e015366768e3c5e33,True,"""3 Acoplamiento espacial Bajo el régimen de red degradada fijado incorporar""",3 Acoplamiento espacial Bajo el régimen de red degradada fijado incorporar,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex:100:p012,3. Hipótesis,Estimandos y reglas de decisión,pre-thesis/sections/source-snapshot/mainmatter/03-hypotheses.tex,100,103,38,3,"Los contrastes estocásticos emplearán mundos y semillas pareados. El análisis mantendrá en el denominador colisiones, fallos de convergencia y agotamientos del horizonte. SP2 evalúa seguridad física local y SP3 exclusión lógica de tráfico; sus resultados conservan esos dominios.",a2972aff8805e9d3af62e36312562edb298a6d2a7fda6e9bcce4c0b0b8101b24,Los contrastes estocásticos emplearán mundos y semillas pareados El análisis mantendrá en,3c964588e1cbfb7f718a584fc902313d7ba53d0ebe790f8c405c56623e8dc404,True,"""Los contrastes estocásticos emplearán mundos y semillas pareados El análisis mantendrá en""",Los contrastes estocásticos emplearán mundos y semillas pareados El análisis mantendrá en,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:4:p001,4. Metodología,Metodología,pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,4,11,98,5,"Se estudia una flota de AMR heterogéneos que forma coaliciones y transporta cargas entre una pose inicial y una pose objetivo. El trabajo adopta Cargo planar soportado como modo primario: los robots ocupan puntos de apoyo conocidos y transmiten fuerza y momento a un cuerpo compuesto. La extensión caging se limita a su definición geométrica y a contactos unilaterales. La evidencia abarca la asignación, la factibilidad física, el movimiento, los obstáculos, el fallo de un robot, el tráfico y la comunicación imperfecta. El contacto tridimensional, la percepción real y la validación en hardware permanecen fuera de la campaña.",ec9397a4dffc87bcd44ae2ede254c76d0d3a48811f548d439b0643fb5188496a,trabajo adopta Cargo planar soportado como modo primario los robots ocupan puntos,1e9b58f90ddc2a99a2db56faa54f861f30264b70f8bb21827b79f47a56e4a094,True,"""trabajo adopta Cargo planar soportado como modo primario los robots ocupan puntos""",trabajo adopta Cargo planar soportado como modo primario los robots ocupan puntos,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:16:p002,4. Metodología,"Alcance, modelo y control",pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,16,20,47,2,"El robot es un uniciclo con estado \(q_i=(p_ x,i ,p_ y,i , _i)\) y entradas acotadas \((v_i, _i)\). La carga tiene pose planar \(q_k^L=(p_ x,k ^L,p_ y,k ^L, _k^L)\). La variable indica pertenencia a una coalición",4ba984d25a345a659b5784fd4f6150652cee168413c3bcf63085fb1d48b7507c,i La carga tiene pose planar q k L p x,21915697848619f6b92a37aab38e4d37b3206a23c71063bc9db77c8bd3032344,True,"""i La carga tiene pose planar q k L p x""",i La carga tiene pose planar q k L p x,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:251:p009,4. Metodología,Aporte y validación por subproblema,pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,251,258,87,5,"La arquitectura contiene tres subproblemas. SP1 incorpora asignación, cardinalidad, heterogeneidad y roles/contactos; SP2 integra acoplamiento, transporte, seguridad y recuperación; SP3 estudia tráfico y replanteamiento, y registra comunicación en el catálogo activo. Escala y red degradada permanecen en la campaña histórica E8 de la monografía. Cada etapa emplea el modelo y los comparadores vinculados con su pregunta local, y sus garantías se restringen a esos supuestos. La misión Cargo comprueba que varios módulos coexisten en un demostrador híbrido; no ejecuta un único juego común a SP1--SP3.",4fc76ccdf865341ee31a65a368b9734abdd69244c77019312036dec231934c45,tres subproblemas SP1 incorpora asignación cardinalidad heterogeneidad y roles contactos SP2 integra,28f9d8f1fca238e4545c00c4c161b7119fffc0d0102317f1b19f9c6a5ac65884,True,"""tres subproblemas SP1 incorpora asignación cardinalidad heterogeneidad y roles contactos SP2 integra""",tres subproblemas SP1 incorpora asignación cardinalidad heterogeneidad y roles contactos SP2 integra,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:289:p011,4. Metodología,Aporte y validación por subproblema,pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,289,300,144,7,"El tratamiento Cargo denominado ``vecinal'' propaga identificadores mediante gossip. El ejecutor consulta el estado global para elegir un líder temporal y resuelve distancia, carga útil y fuerza en un registro también global. Cuando el grafo generado es disconexo, añade aristas de anillo antes de simular pérdida y retardo. El conteo de mensajes y bytes comprende el gossip, pero excluye la elección de líder, los atributos y las consultas al registro. La cifra resultante es una cota inferior del tráfico exigido por una realización carente de esa infraestructura. La ablación ``sin guardia física'' retira a la vez el criterio agregado, el punto intermedio y el filtro, de modo que estima su efecto conjunto. La ablación ``sin reparación'' detiene la misión tras el fallo y mide el efecto de continuar con reemplazo frente a detenerse; no compara el juego de reparación de SP2 con otro reasignador.",53ee6c0ac41f7d6db364db9bc07c3e709e01a5787a21a5abc9efaa8e2aedd287,grafo generado es disconexo añade aristas de anillo antes de simular pérdida,1f706142bd8d8ff24ac548a981c1699491028c0bee8d1102f521b68e29d1d529,True,"""grafo generado es disconexo añade aristas de anillo antes de simular pérdida""",grafo generado es disconexo añade aristas de anillo antes de simular pérdida,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:360:p016,4. Metodología,Validación estadística y CoppeliaSim,pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,360,367,61,4,"El modelo de CoppeliaSim representa un almacén de m construido sobre la escena de AWS RoboMaker . Incluye estanterías, cuatro zonas de despacho y destino, un paso central compartido y cuatro bases para Pioneer P3-DX. Opera con cargas activas y en cola, cuyos requisitos abarcan uno, dos o tres robots. El radio de sensado es m y el de comunicación m.",4cad19b4e054b13156b3fbf0a7cb0be0753b370a146c4361f1cda67bd23fa3e0,P3 DX Opera con cargas activas y en cola cuyos requisitos abarcan,2092bf56fc0474d363aa14cbdab266fdebfbe2f10db6214e15627bbdf5f4d337,True,"""P3 DX Opera con cargas activas y en cola cuyos requisitos abarcan""",P3 DX Opera con cargas activas y en cola cuyos requisitos abarcan,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:405:p020,4. Metodología,Formulación general y arquitectura,pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,405,405,64,3,"La Tabla documenta qué etapa consulta agregados o cierres globales y cuál es su planta. Los códigos E0--E8 corresponden a los nombres históricos de las campañas sp0--sp8; no son subproblemas adicionales. El capítulo de resultados activa E2, E3, E4, E6, E7 y Cargo; E0, E1, E5 y E8 permanecen como procedencia y material de monografía, no como evidencia de una conclusión VIU.",151b69b67f84aab03f0926d022a23071dc62b4ae32a99b3bee8f1776c7cf3eb1,resultados activa E2 E3 E4 E6 E7 y Cargo E0 E1 E5,1737593b367180dd4d12568dcc314fbae343a174b352c8b72bf4cf6f9d5ab17f,True,"""resultados activa E2 E3 E4 E6 E7 y Cargo E0 E1 E5""",resultados activa E2 E3 E4 E6 E7 y Cargo E0 E1 E5,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex:433:p021,4. Metodología,Formulación general y arquitectura,pre-thesis/sections/source-snapshot/mainmatter/04-methodology.tex,433,433,79,5,"Una garantía puede pasar a la capa siguiente únicamente si esta conserva el estado, la información y el modelo de la prueba. Por ejemplo, la cobertura nominal de recursos debe someterse todavía al certificado de contacto antes de salir de SP1. En Cargo, los enlaces vecinales descubren identificadores; el ejecutor consulta estado global para elegir líder y resolver atributos. Su admisión inicial usa un criterio agregado distinto del QP de la etapa E3. Estas dependencias hacen híbrida la arquitectura.",9f623938a95f56874b1dcd18deb84baa35a5deb71f84874a7365508ca9c2077a,enlaces vecinales descubren identificadores el ejecutor consulta estado global para elegir líder,2a38b6a1b8d65357bea2191e33f5d4a1c6746243254eab20a1887b0fe8504466,True,"""enlaces vecinales descubren identificadores el ejecutor consulta estado global para elegir líder""",enlaces vecinales descubren identificadores el ejecutor consulta estado global para elegir líder,ORIGINAL
pre-thesis/sections/method-comparison.tex:39:p003,Otro,Criterios de comparación,pre-thesis/sections/method-comparison.tex,39,47,59,3,"Con restricciones compartidas y las condiciones de regularidad declaradas, un Nash generalizado variacional se caracteriza como solución de una desigualdad variacional y admite multiplicadores comunes . Las dinámicas primal--dual actualizan esos multiplicadores junto con las decisiones bajo convexidad, monotonicidad y conectividad . El precio dual representa congestión o déficit; la integralidad y el coste social requieren mecanismos y estimandos separados.",c1288e4aa0ddf4c53637120b4a7d31f928ff394ce447fb964151d606b182d021,primal dual actualizan esos multiplicadores junto con las decisiones bajo convexidad monotonicidad,225ca424d2eba6fbaa5deaff0effb0ca7dc1d6c74772790abe2a1fe2c96b9a30,True,"""primal dual actualizan esos multiplicadores junto con las decisiones bajo convexidad monotonicidad""",primal dual actualizan esos multiplicadores junto con las decisiones bajo convexidad monotonicidad,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:6:p002,5. Marco teórico,Marco teórico y estado del arte,pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,6,6,47,2,"Un contrato entre capas especifica la salida producida, los supuestos que la sostienen y la comprobación que debe efectuar el consumidor. Este criterio permite comparar MRTA, juegos, estimación, mecánica y control por la propiedad que entregan a la etapa siguiente, en lugar de tratarlos como soluciones intercambiables.",c21767de767b233b1c52c7b94b507b6a17c7dd95e4a175999f28f3bafd006c02,debe efectuar el consumidor Este criterio permite comparar MRTA juegos estimación mecánica,1177656061ebbd3b028716cf033de2c3e1edb8c9b022f5b47a3dc9359cad9604,True,"""debe efectuar el consumidor Este criterio permite comparar MRTA juegos estimación mecánica""",debe efectuar el consumidor Este criterio permite comparar MRTA juegos estimación mecánica,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:19:p004,5. Marco teórico,Asignación y formación de coaliciones,pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,19,19,61,4,"La Ecuación certifica exclusividad, cuota y cobertura nominal de recursos. La admisibilidad mecánica sigue pendiente porque carece de variables de contacto y fuerza. Dividir una carga entre plazas independientes también pierde la condición simultánea de cierre. El algoritmo húngaro es la referencia para el caso uno a uno; las coaliciones con recursos múltiples requieren una formulación MILP o de set partitioning.",4ef2cb0a1fbc4b4dc2d5084cd9066b5f18ccaa522991376b7e2ca8d4880a8cb1,fuerza Dividir una carga entre plazas independientes también pierde la condición simultánea,00ea60cab58132c8d525dd787602563537606cbe002eed4ea6cc1040de061689,True,"""fuerza Dividir una carga entre plazas independientes también pierde la condición simultánea""",fuerza Dividir una carga entre plazas independientes también pierde la condición simultánea,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:53:p014,5. Marco teórico,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,53,53,65,4,"La identidad se verifica con el pago implementado, incluidas sus proyecciones y descuentos. En un juego finito, su cumplimiento ordena las desviaciones y asegura la existencia de al menos un equilibrio puro. La eficiencia de ese equilibrio se evalúa aparte mediante coste social. Bajo mensajes locales, cada robot reconstruye un potencial visible cuya coincidencia con el potencial analítico depende de la coherencia de los agregados.",61d11a4186b1b18600e1d506ce67ec7d728cfee8cf4e4cb7a60e11a369149f5c,social Bajo mensajes locales cada robot reconstruye un potencial visible cuya coincidencia,13ac677a0b7146394ccf0384bdd84e9d19a9e62a6c7afcd4e5088304e59e5ec5,True,"""social Bajo mensajes locales cada robot reconstruye un potencial visible cuya coincidencia""",social Bajo mensajes locales cada robot reconstruye un potencial visible cuya coincidencia,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:195:p017,5. Marco teórico,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,195,195,60,3,La dinámica produce preferencias continuas y el cierre las transforma en bajo exclusividad y recursos. Una proyección o un redondeo puede cambiar el potencial de la relajación y crear déficit. La convergencia continua solo se conserva en la ejecución entera si la regla de cierre y su resolución de empates preservan la propiedad demostrada; ambas forman parte del contrato implementado.,571e77ab09b8d0f866dbb16529c466fde9560630b029a6913ca126518d74e322,resolución de empates preservan la propiedad demostrada ambas forman parte del contrato,4a8a8d3cbc1ee547de35ace64cc027d56324e68693b0c6c7dce5c64a430a0b21,True,"""resolución de empates preservan la propiedad demostrada ambas forman parte del contrato""",resolución de empates preservan la propiedad demostrada ambas forman parte del contrato,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:212:p021,5. Marco teórico,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,212,212,50,3,"Con y los contactos fijados, el controlador regula la pose del cuerpo compuesto. Las estructuras virtuales distribuyen referencias entre robots, y la optimización restringida reparte esfuerzo o impone evitación para esa formación . Estos resultados consumen un equipo ya elegido, por lo que el reclutamiento debe entregarles una composición mecánicamente admisible.",64658461e02a72ad536b259ac854b164e3c25ee581f36486c9657bf2b8e302ac,optimización restringida reparte esfuerzo o impone evitación para esa formación Estos resultados,064e4c99092af121efcb43d6056661f0395c7da2283b1294f44b4642ec21037a,True,"""optimización restringida reparte esfuerzo o impone evitación para esa formación Estos resultados""",optimización restringida reparte esfuerzo o impone evitación para esa formación Estos resultados,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:221:p024,5. Marco teórico,"Seguridad, fallos y red imperfecta",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,221,221,67,4,"Los campos potenciales combinan atracción al objetivo y repulsión de obstáculos con bajo coste de cálculo. Sus mínimos locales permiten mantener separación y, al mismo tiempo, perder progreso hacia la meta . RVO traslada la predicción al espacio de velocidades y reparte la maniobra; ORCA construye semiplanos recíprocamente admisibles . En una coalición Cargo, la reciprocidad, el horizonte y la geometría deben aplicarse a la huella del cuerpo compuesto.",e579a41bf6b36f406859b9dc630e48dbcd3ee45d811c7700a787c1fec682ff7a,al mismo tiempo perder progreso hacia la meta RVO traslada la predicción,4b03e676b453e053aa4b72188cc89ad3a80c849aae89b340a9f96729a51bc531,True,"""al mismo tiempo perder progreso hacia la meta RVO traslada la predicción""",al mismo tiempo perder progreso hacia la meta RVO traslada la predicción,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:231:p029,5. Marco teórico,"Seguridad, fallos y red imperfecta",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,231,231,62,4,"El tráfico entre coaliciones requiere resolver conflictos espacio--temporales además de evitar colisiones reactivamente. CBS alterna detección de conflictos y planificación individual, con completitud y optimalidad en su modelo discreto; ECBS acepta suboptimalidad acotada para reducir coste . LA-MAPF incorpora la huella de cuerpos extensos . MAPF-LNS2 escala mediante reparaciones parciales de gran vecindario y carece de la cota propia de ECBS .",ab6c29de6e2ef342f0ce0db8c0175dbd46a7146395a37f96f8fc73f3ea26900f,resolver conflictos espacio temporales además de evitar colisiones reactivamente CBS alterna detección,1cb5804b0731d48bf67568e028ef4201601080e590120206c9e78e2b95575159,True,"""resolver conflictos espacio temporales además de evitar colisiones reactivamente CBS alterna detección""",resolver conflictos espacio temporales además de evitar colisiones reactivamente CBS alterna detección,ORIGINAL
