result_id,corpus,path,source_sha256,line,end_line,environment,title,label,label_occurrences_within_corpus,duplicate_label_within_corpus,inline_proof_detected,proof_line,linked_claim_ids,claim_ledger_states,evidence_status,audit_status,assumptions_audited,domain_audited,units_audited,proof_audited,dependencies_audited,counterexample_audited,evidence_link_audited,notes
PAPER-FR-0011-pr:caging,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,707,713,proposicion,Caging suficiente por curva cerrada,pr:caging,1,no,yes,715,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: El argumento de cruce del contorno no prueba confinamiento de un cuerpo con orientación; contradice la delimitación canónica del verificador SE(2). Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0012-th:potencial,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,741,751,teorema,Potencial exacto sobre la estrategia híbrida,th:potencial,1,no,yes,753,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La identidad de potencial es correcta por construcción, pero el megajuego concreto no tiene términos/unidades ni evidencia trazados. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0013-co:terminacion,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,769,774,corolario,Terminación,co:terminacion,1,no,yes,776,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: El enunciado no exige que cada revisión reoptimice globalmente la rama ni que exista un conjunto finito de valores; la conclusión no se sigue. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0014-th:vi,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,815,823,teorema,Puente VI--potencial,th:vi,1,no,yes,825,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica LIMITED: La equivalencia optimizador-VI es estándar; la promoción exige escribir el pseudogradiente por jugador y todas las restricciones. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática.
PAPER-FR-0015-le:orientacion,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,848,853,lema,Orientación necesaria para empujar,le:orientacion,1,no,yes,855,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: Es una traducción de la definición geométrica, útil como requisito de modelo pero no como lema autónomo. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0016-le:curvatura,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,871,878,lema,Cota de velocidad por curvatura,le:curvatura,1,no,yes,880,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica LIMITED: La cota exterior es correcta para avance no negativo; requiere valor absoluto y aclarar radio/convención de velocidad de rueda. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática.
PAPER-FR-0017-pr:hocbf,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,893,899,proposicion,Invariancia condicional bajo HOCBF--QP,pr:hocbf,1,no,yes,901,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: Es el argumento HOCBF estándar, pero las hipótesis de existencia y las unidades de alpha deben cerrarse antes de reclamar invariancia. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0018-le:muestras,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,912,917,lema,Margen suficiente entre muestras,le:muestras,1,no,yes,919,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: Resultado válido y útil, pero falta enlazar una cota L_Psi computable al sistema Cargo y a un claim del ledger. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0019-pr:jerarquia,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,956,961,proposicion,Jerarquía anidada,pr:jerarquia,1,no,yes,963,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: Las inclusiones anidadas sí valen por conjuntos de vecindad, pero BR_N igual a óptimos de la componente es falso sin una hipótesis de vecindad completa. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0020-th:smallgain,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,1031,1044,teorema,Ganancia pequeña,th:smallgain,1,no,yes,1046,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: La combinación ponderada da disipación de las señales, pero ISS no se sigue sin funciones de almacenamiento coercivas y dominio invariante. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0021-th:muestreada,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,1069,1079,teorema,Versión muestreada,th:muestreada,1,no,yes,1081,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: El resultado estándar es correcto en su dominio, pero no prueba la iteración distribuida o proyectada implementable del TFM. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0022-th:dwell,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,1100,1110,teorema,Tiempo de permanencia mínimo,th:dwell,1,no,yes,1112,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: La cota solo sirve para una reversión binaria con una señal continua común; no acota dos conmutaciones consecutivas generales ni excluye Zenón. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0023-th:descomposicion,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,1199,1216,teorema,Descomposición exacta en cuatro términos,th:descomposicion,1,no,yes,1218,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: La identidad telescópica vale, pero la no negatividad de tres términos es falsa con las definiciones publicadas. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0024-pr:composiciones,paper,paper/sec_alcance.tex,1430061f68358e7bb21efaa3f8ff91373fdd506b12ef632da302933f34a5d73c,136,151,proposicion,Dos composiciones que conservan la disipatividad,pr:composiciones,1,no,no,,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: La primera transformación lineal es plausible, pero la segunda afirmación amplia carece de prueba y de hipótesis suficientes; no puede promoverse como una sola proposición. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0025-th:saltos,paper,paper/sec_alcance.tex,1430061f68358e7bb21efaa3f8ff91373fdd506b12ef632da302933f34a5d73c,226,236,teorema,Inversión local y alcance de dependencia,th:saltos,1,no,no,,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La desigualdad se obtiene de K^{-1}-p_h=K^{-1}(I-gamma K)^{h+1}, pero la fuente no incluye esa prueba ni evidencia enlazada. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0026-th:intervalo,paper,paper/sec_alcance.tex,1430061f68358e7bb21efaa3f8ff91373fdd506b12ef632da302933f34a5d73c,257,267,teorema,Intervalo de optimalidad desde información aproximada,th:intervalo,1,no,no,,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La forma es recuperable con un residual subgradiente-normal preciso; como está, no hay prueba ni definición suficiente. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0027-pr:dominancia,paper,paper/sec_alcance.tex,1430061f68358e7bb21efaa3f8ff91373fdd506b12ef632da302933f34a5d73c,408,419,proposicion,Dominancia diagonal y estabilidad de precios,pr:dominancia,1,no,yes,421,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: El argumento de Gershgorin es correcto y útil, pero falta claim/evidencia y una definición dimensional de las elasticidades. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0028-th:autoridad,paper,paper/sec_autoridad.tex,0d15f5f00a896a351bd7a0c88f6c97701b0be20ee41da4531606d1d21ba14552,21,42,teorema,Degradación de autoridad,th:autoridad,1,no,yes,44,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: Las fórmulas escalares son correctas para el problema no restringido, pero la transformación y el residual completo deben corregirse. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0029-th:actuador-adicional,paper,paper/sec_autoridad.tex,0d15f5f00a896a351bd7a0c88f6c97701b0be20ee41da4531606d1d21ba14552,85,95,teorema,Valor exacto de un actuador adicional,th:actuador-adicional,1,no,yes,97,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La identidad es correcta y ofrece valor marginal exacto, pero carece de claim y de vínculo con el certificado físico canónico. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0030-co:guarda,paper,paper/sec_autoridad.tex,0d15f5f00a896a351bd7a0c88f6c97701b0be20ee41da4531606d1d21ba14552,162,174,corolario,La guarda de autoridad se acopla a la regularización,co:guarda,1,no,yes,176,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La cota por dirección es válida con rango fila completo, pero el enunciado omite esa condición y sobregeneraliza el residual global. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0031-le:barrera-unilateral,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,12,22,lema,Barrera unilateral y escape bilateral,le:barrera-unilateral,1,no,yes,24,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: El testigo bilateral es correcto, pero no está enlazado a un claim ni extiende por sí solo el resultado heterogéneo completo. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0032-pr:composicion-disjunta,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,48,55,proposicion,Composición de propuestas disjuntas,pr:composicion-disjunta,1,no,yes,57,C-SP1-N4-DMIS-TX,SOPORTADA,candidate,DUPLICATE,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica DUPLICATE: La proposición activa demuestra la misma composición con condiciones de fase y versión más precisas y evidencia pareada. Decisión: retain-canonical-result-only. No hay promoción automática.
PAPER-FR-0033-th:compatibilidad-completa,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,70,76,teorema,Compatibilidad completa no implica reconfigurabilidad por pares,th:compatibilidad-completa,1,no,yes,78,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La construcción es sólida y no trivial, pero necesita claim propio, test automatizado y aclarar el papel de los anclajes antes de promoción. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0034-pr:reparacion-ranuras,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,146,153,proposicion,Reparación por ranuras con recurso mínimo,pr:reparacion-ranuras,1,no,yes,155,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: El método es estándar y correcto, aunque longitud de camino y número de AMR reasignados deben distinguirse explícitamente. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0035-th:mohr,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,163,172,teorema,La reparación heterogénea mínima es NP-completa,th:mohr,1,no,yes,174,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica LIMITED: La parte NP-completa está demostrada; no se promueve el teorema compuesto hasta verificar y citar las dos extensiones adicionales. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática.
PAPER-FR-0036-pr:hoeffding,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,197,208,proposicion,Estrechamiento probabilístico continuo--atómico,pr:hoeffding,1,no,yes,210,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La prueba es correcta, pero falta enlazar el supuesto de independencia a un cierre implementado y registrar la fuente primaria. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0037-pr:implementabilidad-tu,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,233,241,proposicion,Implementabilidad con presupuesto equilibrado,pr:implementabilidad-tu,1,no,yes,243,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica LIMITED: La equivalencia de superávit es correcta bajo TU; la parte logarítmica necesita normalización y no modela pagos permitidos en la flota. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática.
PAPER-FR-0038-co:fuerte-tu,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,249,256,corolario,Equilibrio fuerte de orden $h$ con transferencias,co:fuerte-tu,1,no,no,,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: Es válido bajo una hipótesis TU fuerte, pero esa hipótesis no está conectada con el mecanismo AMR ni con evidencia. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0039-pr:guarda-ganancia,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,269,277,proposicion,Aceptar solo lo que sobrevive al error,pr:guarda-ganancia,1,no,yes,279,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica LIMITED: La inferencia es correcta condicionada a una envolvente que el corpus no calcula ni enlaza a una campaña. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática.
PAPER-FR-0040-th:energia-libre,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,302,310,teorema,Disipación exacta de la energía libre,th:energia-libre,1,no,yes,312,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La identidad es correcta y rigurosa, pero es un resultado estándar sin claim ni vínculo a una cadena implementada. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0041-th:gap-monotono,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,318,329,teorema,La brecha espectral crece con el soporte,th:gap-monotono,1,no,yes,331,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: El teorema es válido bajo su acoplamiento exacto, pero falta evidencia de que los soportes del algoritmo real conserven pi y relojes. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0042-pr:cuatro-mecanismos,paper,paper/sec_cfrd.tex,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,341,356,proposicion,Cota de cuatro mecanismos,pr:cuatro-mecanismos,1,no,yes,358,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La desigualdad principal es correcta, pero la frase de decaimiento debe conservar el prefactor y el nesting debe declararse. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0043-th:potencial-valor,paper,paper/sec_cierre.tex,2b6e937593430f4063b49c8953ba614a37fdcb358908975e8e1e8436843738cb,37,50,teorema,El potencial híbrido es el valor de misión,th:potencial-valor,1,no,yes,52,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: El núcleo es wonderful-life por definición y las afirmaciones adicionales no se derivan en la prueba; no debe presentarse como nuevo teorema. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0044-th:entrega,paper,paper/sec_cierre.tex,2b6e937593430f4063b49c8953ba614a37fdcb358908975e8e1e8436843738cb,100,117,teorema,Entrega segura por el mecanismo distribuido,th:entrega,1,no,yes,119,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: La prueba hereda resultados inválidos y salta de progreso durante avance a terminación temporal global; no sostiene entrega segura finita. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0045-th:precio-seguridad,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,24,41,teorema,El precio de seguridad preserva la estructura variacional,th:precio-seguridad,1,no,yes,43,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: La propia fuente reconoce después que un multiplicador común congelado no basta para identificar reposos con equilibrio variacional. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0046-th:rigidizacion,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,80,97,teorema,La rigidización convierte desigualdades en igualdades,th:rigidizacion,1,no,yes,99,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: Los incisos b-c son álgebra válida, pero el inciso a y el título son falsos; la observación posterior los rebaja explícitamente a metáfora. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0047-co:agarre,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,131,138,corolario,Compromiso entre agarre y capacidad,co:agarre,1,no,no,,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: No es corolario de la descomposición del núcleo y carece de una relación formal entre sujeción, fricción y margen. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0048-th:dos-monotonias,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,140,148,teorema,Dos monotonías opuestas,th:dos-monotonias,1,no,yes,150,C-SP2-CROSS-MONO-FORMAL,SOPORTADA,candidate,DUPLICATE,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica DUPLICATE: Es la misma no monotonía cinemática-mecánica ya incorporada al spine con supuestos más precisos. Decisión: retain-canonical-result-only. No hay promoción automática.
PAPER-FR-0049-pr:descomposicion-R,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,208,218,proposicion,Descomposición de coste en tarea y precarga,pr:descomposicion-R,1,no,yes,220,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La descomposición ortogonal en métrica R está correctamente demostrada, pero no tiene claim/evidencia canónicos. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0050-pr:tubo,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,245,255,proposicion,Eliminación interna mediante tubo,pr:tubo,1,no,yes,257,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica LIMITED: La condición es una cota suficiente correcta; falta un procedimiento que certifique epsilon_i entre muestras y un claim trazado. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática.
PAPER-FR-0051-pr:barrera-compuesta,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,283,296,proposicion,Barrera compuesta y su relajación suave,pr:barrera-compuesta,1,no,yes,298,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: El nucleo de soft-min es correcto, pero el termino barrera valida excede lo probado y faltan signo y unidades de kappa. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0052-pr:softmin-curvatura,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,307,318,proposicion,La \emph{soft-min} añade curvatura desfavorable,pr:softmin-curvatura,1,no,no,,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La formula de la varianza se obtiene por diferenciacion, pero falta demostracion autocontenida y no puede promoverse como garantia de seguridad. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0053-pr:rigidizacion-admisible,paper,paper/sec_clusters.tex,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,353,359,proposicion,Rigidización admisible,pr:rigidizacion-admisible,1,no,yes,361,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: La hipotesis de la proposicion no implica la premisa usada por la prueba. Debe exigirse h_ij(t-)>=0 y tratar el reset de velocidad/contacto. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0054-pr:miet,paper,paper/sec_comunicacion.tex,43cf5bbc44d5ba319ce81ff2e46944a93e6bc5fa4c4547e9ec5dcd26850556b3,42,48,proposicion,Ausencia de Zenón por construcción,pr:miet,1,no,yes,50,,,candidate,PASS,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica PASS: La ausencia de Zeno por agente sigue inmediatamente del tiempo minimo positivo, con el alcance temporal correctamente limitado. Decisión: proof-pass-but-claim-or-independent-evidence-unmapped. No hay promoción automática."
PAPER-FR-0055-le:tiempo-finito,paper,paper/sec_comunicacion.tex,43cf5bbc44d5ba319ce81ff2e46944a93e6bc5fa4c4547e9ec5dcd26850556b3,209,217,lema,Cota de tiempo de asentamiento,le:tiempo-finito,1,no,no,,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: Es un resultado clasico plausible, pero la fuente candidata no contiene una prueba completa ni todas las condiciones de aplicacion. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0056-pr:reset,paper,paper/sec_comunicacion.tex,43cf5bbc44d5ba319ce81ff2e46944a93e6bc5fa4c4547e9ec5dcd26850556b3,261,267,proposicion,Reinicio del acumulador de precio,pr:reset,1,no,no,,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: Ni la invariancia del reposo ni la reduccion de sobreimpulso se siguen sin un modelo de planta/reset; ambas se sobreextienden desde un ejemplo. Decisión: reject-as-formal-support. No hay promoción automática.
